                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0809,                 1.4684,                 1.4346,                0.79431,                  0.625,                0.70313,                0.35863,                 1.3755,                 1.9139,                 1.7788,               0.007756,               0.007756,               0.007756
                     36,                0.97253,                 1.3602,                 1.3151,                0.76738,                0.61084,                0.73999,                0.43771,                 1.1749,                 1.8102,                 1.5478,                0.00769,                0.00769,                0.00769
                     37,                0.95512,                 1.2886,                 1.3251,                 0.5778,                  0.625,                0.65251,                 0.3207,                 1.4448,                 2.0179,                 1.7651,               0.007624,               0.007624,               0.007624
                     38,                0.93512,                 1.2669,                 1.2893,                0.69146,                0.60788,                0.65338,                0.37416,                 1.4099,                 1.8811,                 1.8151,               0.007558,               0.007558,               0.007558
                     39,                 1.0197,                 1.3323,                 1.3432,                0.62346,                0.52919,                0.55651,                0.29006,                  1.552,                 2.1045,                 2.0747,               0.007492,               0.007492,               0.007492
                     40,                0.93171,                 1.2216,                 1.3163,                0.84197,                0.66667,                0.73695,                0.40677,                 1.5139,                 1.9172,                 1.9542,               0.007426,               0.007426,               0.007426
                     41,                0.90991,                 1.2119,                 1.2428,                0.78301,                0.70833,                0.76238,                0.42415,                 1.4594,                 1.6993,                 1.8651,                0.00736,                0.00736,                0.00736
                     42,                0.93721,                 1.2035,                 1.2883,                0.74214,                   0.75,                0.80491,                0.50915,                 1.2241,                 1.5304,                  1.563,               0.007294,               0.007294,               0.007294
                     43,                 0.9522,                 1.1516,                 1.2555,                0.82111,                0.65447,                0.80682,                0.48911,                 1.1648,                  1.585,                 1.5594,               0.007228,               0.007228,               0.007228
                     44,                0.95363,                 1.2689,                 1.2936,                0.84774,                0.71286,                0.82396,                0.46629,                 1.2992,                 1.5392,                 1.7106,               0.007162,               0.007162,               0.007162
                     45,                0.95271,                 1.2429,                 1.2849,                0.60124,                   0.75,                0.79029,                0.51037,                 1.2359,                 1.6485,                 1.6268,               0.007096,               0.007096,               0.007096
                     46,                0.95623,                 1.1907,                 1.2908,                0.90081,                0.70833,                0.83194,                0.51152,                 1.0972,                 1.6263,                 1.4881,                0.00703,                0.00703,                0.00703
                     47,                0.95655,                 1.1896,                  1.308,                0.71138,                0.86224,                0.84745,                0.50878,                 1.2234,                 1.5915,                 1.5401,               0.006964,               0.006964,               0.006964
                     48,                0.93554,                 1.1845,                 1.2863,                0.81676,                0.84029,                0.87924,                0.52996,                 1.1583,                 1.4581,                 1.4984,               0.006898,               0.006898,               0.006898
                     49,                0.93088,                  1.193,                 1.2737,                0.81523,                0.75617,                0.84024,                0.53536,                 1.1518,                 1.4345,                 1.5298,               0.006832,               0.006832,               0.006832
                     50,                0.89442,                  1.092,                 1.2343,                0.96465,                0.70833,                 0.8723,                0.57435,                 1.1198,                 1.3134,                 1.4994,               0.006766,               0.006766,               0.006766
                     51,                0.92279,                 1.1343,                  1.276,                 0.8884,                0.73403,                0.87889,                0.57176,                 1.0971,                 1.3236,                 1.4783,                 0.0067,                 0.0067,                 0.0067
                     52,                0.91214,                 1.0839,                 1.2836,                0.94972,                0.74819,                0.87608,                0.55788,                 1.1953,                  1.242,                 1.5155,               0.006634,               0.006634,               0.006634
                     53,                0.87853,                 1.0312,                 1.2601,                0.84306,                0.72042,                0.84093,                0.49505,                 1.2067,                 1.3594,                 1.5769,               0.006568,               0.006568,               0.006568
                     54,                0.88246,                 1.0559,                 1.2132,                0.88587,                0.74585,                0.85499,                0.56982,                 1.0693,                 1.2601,                 1.4546,               0.006502,               0.006502,               0.006502
                     55,                0.92637,                 1.0793,                 1.2691,                0.79885,                0.83333,                0.87056,                0.52509,                 1.2469,                 1.3228,                 1.6188,               0.006436,               0.006436,               0.006436
                     56,                0.93245,                 1.1099,                 1.2667,                0.85397,                0.83333,                 0.8514,                0.53164,                 1.1729,                 1.2999,                 1.6038,                0.00637,                0.00637,                0.00637
                     57,                 0.8434,                 1.0129,                 1.2125,                0.87125,                  0.625,                0.77705,                0.48914,                 1.1307,                 1.4922,                 1.5334,               0.006304,               0.006304,               0.006304
                     58,                0.84543,                 1.1167,                 1.2163,                0.74213,                0.82045,                0.84207,                0.49455,                 1.1822,                 1.3702,                 1.5802,               0.006238,               0.006238,               0.006238
                     59,                0.83173,                  1.095,                 1.2173,                0.96102,                0.82101,                0.93301,                0.52158,                 1.2585,                 1.2923,                 1.7151,               0.006172,               0.006172,               0.006172
                     60,                0.86722,                0.99277,                 1.2177,                0.79065,                0.83333,                0.89023,                0.49846,                  1.147,                 1.3066,                 1.6008,               0.006106,               0.006106,               0.006106
                     61,                0.88311,                 1.0986,                 1.2426,                0.85145,                0.73886,                0.85693,                0.50304,                 1.1431,                 1.4133,                  1.586,                0.00604,                0.00604,                0.00604
                     62,                0.84649,                 1.0273,                 1.2216,                0.97747,                0.56472,                0.79199,                0.48275,                 1.1558,                 1.4428,                 1.6466,               0.005974,               0.005974,               0.005974
                     63,                0.84447,                 1.0386,                  1.213,                0.93633,                0.81449,                0.92271,                0.56755,                 1.0884,                 1.1958,                 1.5488,               0.005908,               0.005908,               0.005908
                     64,                0.82239,                0.99347,                 1.1979,                0.94824,                   0.75,                0.90687,                 0.5829,                 1.1017,                  1.262,                  1.556,               0.005842,               0.005842,               0.005842
                     65,                0.84386,                 1.0083,                 1.1956,                0.88924,                 0.7241,                0.88316,                0.52536,                 1.2159,                 1.3529,                   1.65,               0.005776,               0.005776,               0.005776
                     66,                0.87601,                 1.0233,                 1.2147,                0.75842,                0.72286,                0.82882,                0.52318,                 1.1218,                 1.3193,                  1.596,                0.00571,                0.00571,                0.00571
                     67,                0.83959,                0.91919,                 1.1985,                0.81447,                0.66643,                0.79676,                0.47028,                 1.2512,                 1.3286,                 1.7504,               0.005644,               0.005644,               0.005644
                     68,                0.78678,                0.92658,                 1.1697,                0.73785,                0.75411,                0.85552,                0.52137,                 1.1861,                 1.2556,                 1.6645,               0.005578,               0.005578,               0.005578
                     69,                0.84197,                0.98188,                  1.204,                0.80199,                0.84468,                0.89145,                0.54492,                 1.1846,                 1.1447,                 1.6927,               0.005512,               0.005512,               0.005512
                     70,                0.92478,                 1.0251,                 1.3056,                0.92395,                0.78338,                0.91345,                 0.5496,                 1.2575,                  1.192,                 1.7778,               0.005446,               0.005446,               0.005446
                     71,                0.81005,                0.95857,                 1.2121,                0.94584,                0.81286,                0.92913,                0.55562,                 1.1873,                 1.1068,                 1.6721,                0.00538,                0.00538,                0.00538
                     72,                0.84661,                0.97738,                 1.2283,                0.90611,                0.90457,                0.95202,                0.64573,                 1.1665,                 1.0233,                 1.6526,               0.005314,               0.005314,               0.005314
                     73,                0.83793,                0.97712,                 1.1987,                0.98779,                0.85348,                 0.9637,                0.63185,                 1.1285,                 1.0012,                 1.6118,               0.005248,               0.005248,               0.005248
                     74,                0.81065,                0.88493,                 1.1681,                0.98188,                  0.875,                 0.9574,                0.64054,                 1.1425,                0.95911,                  1.659,               0.005182,               0.005182,               0.005182
                     75,                0.78719,                0.89296,                 1.1812,                0.91198,                  0.875,                0.93565,                0.63915,                 1.1635,                0.99912,                 1.6312,               0.005116,               0.005116,               0.005116
                     76,                0.81493,                0.99029,                 1.1786,                0.88965,                0.79167,                0.87651,                0.57894,                 1.1992,                 1.1338,                 1.6217,                0.00505,                0.00505,                0.00505
                     77,                0.78804,                0.93335,                 1.2188,                0.79302,                0.86426,                0.84947,                0.53958,                  1.245,                 1.2417,                 1.6294,               0.004984,               0.004984,               0.004984
                     78,                0.85373,                0.95213,                 1.2057,                 0.7636,                0.79747,                 0.7846,                0.49938,                 1.2435,                 1.3589,                 1.6093,               0.004918,               0.004918,               0.004918
                     79,                0.77073,                0.91806,                 1.1498,                0.66902,                0.88418,                0.81804,                0.49357,                 1.2453,                 1.2935,                 1.6195,               0.004852,               0.004852,               0.004852
                     80,                0.76124,                0.88202,                 1.1567,                 0.7629,                  0.875,                0.84288,                0.52497,                 1.1978,                 1.2524,                 1.5931,               0.004786,               0.004786,               0.004786
                     81,                0.77833,                0.88294,                 1.1557,                0.92334,                0.82791,                0.89992,                0.59692,                  1.128,                 1.1091,                 1.5383,                0.00472,                0.00472,                0.00472
                     82,                0.78513,                0.89231,                 1.1633,                0.93404,                0.88096,                0.92983,                0.61811,                 1.1274,                 1.0979,                  1.524,               0.004654,               0.004654,               0.004654
                     83,                0.79292,                0.92399,                 1.2121,                 0.9254,                 0.8253,                0.91543,                0.59871,                 1.1926,                 1.0845,                 1.5971,               0.004588,               0.004588,               0.004588
                     84,                0.76016,                0.89344,                 1.1515,                0.90431,                0.78432,                0.87513,                0.59245,                 1.1428,                 1.1175,                 1.5612,               0.004522,               0.004522,               0.004522
                     85,                0.75361,                0.85991,                 1.1293,                0.96002,                0.78651,                0.88092,                 0.5949,                 1.1002,                 1.0873,                 1.5339,               0.004456,               0.004456,               0.004456
                     86,                0.80772,                0.91224,                 1.1819,                0.89469,                0.79167,                0.89724,                0.58137,                 1.2586,                 1.1096,                 1.5713,                0.00439,                0.00439,                0.00439
                     87,                0.79605,                0.86425,                 1.1559,                0.99013,                  0.777,                0.93183,                0.58489,                 1.2005,                 1.1059,                 1.5012,               0.004324,               0.004324,               0.004324
                     88,                0.79139,                0.88455,                 1.1623,                0.98232,                0.76045,                0.92092,                0.57517,                 1.2246,                 1.1716,                 1.5105,               0.004258,               0.004258,               0.004258
                     89,                0.72821,                0.83838,                 1.1522,                0.94648,                0.81845,                0.91515,                0.58723,                 1.2001,                 1.1329,                  1.518,               0.004192,               0.004192,               0.004192
                     90,                0.75605,                0.86602,                 1.1735,                0.99689,                 0.8294,                0.92378,                0.58465,                 1.1978,                  1.139,                 1.5049,               0.004126,               0.004126,               0.004126
                     91,                0.75137,                0.84899,                 1.1626,                0.91158,                0.72877,                0.85935,                0.48815,                 1.3097,                 1.3154,                 1.6788,                0.00406,                0.00406,                0.00406
                     92,                0.74886,                 0.8424,                 1.1432,                0.84688,                0.77936,                0.84925,                0.47762,                 1.3758,                 1.2856,                 1.7793,               0.003994,               0.003994,               0.003994
                     93,                 0.7529,                0.86578,                 1.1579,                0.81773,                 0.8183,                0.86043,                0.52393,                 1.2414,                 1.1858,                 1.6283,               0.003928,               0.003928,               0.003928
                     94,                 0.7542,                0.82354,                 1.1713,                0.79046,                 0.8328,                0.86993,                0.53261,                 1.2634,                 1.1387,                 1.6644,               0.003862,               0.003862,               0.003862
                     95,                0.75543,                0.83152,                 1.1446,                0.91312,                0.86811,                0.91909,                0.59857,                 1.2422,                 1.0411,                 1.6431,               0.003796,               0.003796,               0.003796
                     96,                0.74181,                0.84588,                 1.1521,                 0.8634,                0.82074,                0.88055,                0.56037,                 1.3596,                 1.0703,                 1.7557,                0.00373,                0.00373,                0.00373
                     97,                0.68815,                0.81568,                 1.1183,                0.83907,                0.83333,                0.85899,                0.53253,                 1.3431,                 1.1189,                 1.7062,               0.003664,               0.003664,               0.003664
                     98,                0.68705,                0.77268,                 1.1016,                 0.8826,                0.84498,                0.90523,                0.53262,                 1.3909,                 1.1561,                  1.783,               0.003598,               0.003598,               0.003598
                     99,                 0.6893,                0.80784,                 1.0987,                0.91739,                0.83333,                0.90691,                0.56717,                 1.2911,                 1.0091,                 1.7152,               0.003532,               0.003532,               0.003532
                    100,                0.70714,                0.82813,                 1.1175,                0.94192,                0.89562,                0.92383,                0.62456,                 1.1836,                 0.9039,                 1.6012,               0.003466,               0.003466,               0.003466
                    101,                0.75864,                0.79482,                 1.1796,                0.94977,                  0.875,                0.92141,                0.62483,                 1.1308,                0.89702,                 1.5576,                 0.0034,                 0.0034,                 0.0034
                    102,                0.72407,                0.83415,                 1.1423,                0.94007,                  0.875,                0.91986,                0.60434,                 1.1471,                0.92381,                 1.5552,               0.003334,               0.003334,               0.003334
                    103,                0.69177,                0.74647,                 1.1026,                 0.9409,                  0.875,                0.91276,                0.61989,                 1.1678,                0.93204,                  1.551,               0.003268,               0.003268,               0.003268
                    104,                0.75981,                0.81883,                 1.1819,                0.94126,                0.83333,                0.90288,                0.61242,                 1.1249,                0.97885,                 1.5394,               0.003202,               0.003202,               0.003202
                    105,                0.69255,                0.77113,                 1.1189,                0.94015,                0.82424,                0.89076,                0.62706,                 1.0826,                 1.0089,                 1.5335,               0.003136,               0.003136,               0.003136
                    106,                0.69839,                0.77956,                 1.1211,                0.97444,                   0.75,                0.88661,                0.63313,                 1.0467,                0.99425,                 1.4961,                0.00307,                0.00307,                0.00307
                    107,                0.71255,                0.78975,                 1.1237,                0.86118,                0.83333,                0.87368,                0.60996,                 1.0609,                 1.0304,                 1.5199,               0.003004,               0.003004,               0.003004
                    108,                  0.679,                0.76727,                 1.1158,                0.94755,                0.79167,                0.88482,                0.61539,                 1.0823,                 1.0314,                 1.5116,               0.002938,               0.002938,               0.002938
                    109,                0.67593,                0.77189,                 1.1102,                0.84654,                 0.8282,                0.86778,                0.58317,                 1.1281,                 1.1094,                 1.5403,               0.002872,               0.002872,               0.002872
                    110,                0.70874,                0.80288,                 1.1151,                0.86693,                 0.8269,                0.89324,                0.62699,                  1.057,                 1.0237,                 1.4742,               0.002806,               0.002806,               0.002806
                    111,                0.66473,                0.72734,                 1.0978,                0.87812,                  0.875,                0.89634,                0.60584,                 1.0922,                 1.0589,                 1.5012,                0.00274,                0.00274,                0.00274
                    112,                0.65497,                0.75416,                 1.0751,                0.80206,                0.91511,                0.89164,                0.59636,                  1.119,                 1.0463,                  1.562,               0.002674,               0.002674,               0.002674
